Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Shoulder_Hip_Ratio,Waist_Hip_Ratio,BodyType
1.0,17,21,11,14,26,25,18,21,19,19,34,59,0.6111111111111112,1.3888888888888888,Triangle
2.0,5,21,15,11,22,23,23,17,15,13,22,43,0.6521739130434783,1.0,Triangle
1.0,13,21,8,12,22,14,29,27,22,16,25,23,0.27586206896551724,0.4827586206896552,Triangle
2.0,2,18,15,8,20,19,20,14,13,11,18,32,0.75,0.95,Triangle
1.0,10,20,12,12,22,14,29,27,22,16,25,23,0.41379310344827586,0.4827586206896552,Triangle
2.0,10,21,12,12,22,24,26,21,15,14,25,45,0.46153846153846156,0.9230769230769231,Triangle
2.0,13,22,6,14,25,18,30,21,20,16,33,59,0.2,0.6,Triangle
1.0,10,21,11,12,22,2,26,21,15,14,25,45,0.4230769230769231,0.07692307692307693,Triangle
1.0,4,20,17,11,22,22,22,17,12,12,22,40,0.7727272727272727,1.0,Triangle
1.0,13,20,15,14,25,18,30,21,20,16,33,59,0.5,0.6,Triangle
2.0,4,20,15,10,20,20,21,18,10,12,19,37,0.7142857142857143,0.9523809523809523,Triangle
